Comment,Designator,Footprint,LCSC Part Number
USBC 3.2,"J1,J6",USB C SMD,C134092
USBC 2.0,"J2,J5",USB C SMD,C2765186
USBA 3.1,"USB1, USB2",USB A SMD,C3020886
USBA 2.0,"J3,J4",USB A TH,C668591
TUSB8042AIRGCR,U1,VQFN-64,C2860610
SL2.1A,U4,SL2.1A,C192893
CYA0630-4.7UH,U3,7.2x6.6 SMD,C5189748
AP63203WU-7,U2,TSOT-23-6,C780769
9.53k,R7,0402,C6127312
5.1k,"R3,R4,R5,R6,R15,R16,R17,R18",0402,C2906874
43k,R10,0402,C185415
4.7k,"R11,R12,R13,R14,R2,R8,R9",0402,C105871
2A Polyfuse,F1,1206,C883135
24MHz,X1,SMD3225-4P,C5444545
22uf,"C18,C3,C4",0402,C105226
220@100MHz,FB1,1206,C454099
1uf,"C10,C12,C14,C15,C35,C36,C6,C7,C8,C21,C5",0402,C107372
1M,R1,0402,C138033
18pf,"C16,C20",0402,C106202
18.6V ESD,D1,SOD-523,C82044
10uf,"C1,C17,C29,C34",0402,C315248
100nf,"C19,C2,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C11,C13,C9",0402,C309458
