Designator,Mid X,Mid Y,Rotation,Layer
C1,85.2,-57.35,90.0,top
C10,129.1,-54.4,0.0,top
C11,129.1,-52.8,0.0,top
C12,132.0,-54.4,0.0,top
C13,132.0,-52.8,0.0,top
C14,110.8,-36.168,90.0,top
C15,117.2,-36.168,90.0,top
C16,103.3766,-47.4766,0.0,top
C17,150.139,-64.3,0.0,top
C18,150.2,-65.9,0.0,top
C19,149.939,-60.9,0.0,top
C2,92.9,-55.05,0.0,top
C20,95.2766,-47.3766,180.0,top
C21,117.791,-38.7,0.0,top
C22,111.4,-53.45,270.0,top
C23,112.9,-53.45,270.0,top
C24,114.4,-53.45,270.0,top
C25,115.9,-53.45,270.0,top
C26,117.4,-53.45,270.0,top
C27,118.9,-53.45,270.0,top
C28,120.4,-53.45,270.0,top
C29,121.8,-53.25,270.0,top
C3,104.35,-56.5,270.0,top
C30,111.4,-56.5,270.0,top
C31,112.9,-56.5,270.0,top
C32,114.4,-56.5,270.0,top
C33,115.9,-56.5,270.0,top
C34,117.4,-56.3,270.0,top
C35,140.5,-40.4,90.0,top
C36,105.2,-36.0,90.0,top
C4,105.65,-56.5,270.0,top
C5,150.139,-62.7,0.0,top
C6,124.5,-40.2,90.0,top
C7,98.8,-36.0,90.0,top
C8,126.9,-52.8,0.0,top
C9,126.9,-54.4,0.0,top
D1,152.039,-60.2,90.0,top
F1,148.965,-51.95,0.0,top
FB1,148.95,-49.1,180.0,top
J1,139.575028,-73.943971,0.0,top
J2,114.0,-30.0,180.0,top
J3,128.0,-32.945,180.0,top
J4,144.0,-32.945,180.0,top
J5,102.0,-30.0,180.0,top
J6,163.605,-48.8,90.0,top
R1,100.1466,-42.6766,0.0,top
R10,120.3,-41.6,0.0,top
R11,120.5,-44.5,0.0,top
R12,120.5,-45.9,0.0,top
R13,120.5,-47.3,0.0,top
R14,120.5,-48.7,0.0,top
R15,154.065,-49.8,180.0,top
R16,159.6,-43.1,0.0,top
R17,138.575028,-64.524971,90.0,top
R18,144.85,-69.45,90.0,top
R2,115.591,-38.7,0.0,top
R3,100.2,-36.0,270.0,top
R4,103.3,-36.0,270.0,top
R5,115.2,-36.17,270.0,top
R6,112.2,-36.17,270.0,top
R7,109.2,-39.135,90.0,top
R8,118.5,-40.4,0.0,top
R9,120.5,-42.9,180.0,top
U1,113.0,-45.35,0.0,top
U2,88.50335,-56.0,0.0,top
U3,99.4,-56.05,0.0,top
U4,128.0,-47.0,180.0,top
USB1,124.0,-61.125,0.0,top
USB2,106.0,-61.125,0.0,top
X1,99.459,-47.0,0.0,top
